"","ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","ACCIDENT_TYPE","Accident Type Desc","DAY_OF_WEEK","Day Week Description","ROAD_GEOMETRY","Road Geometry Desc","SPEED_ZONE","SEVERITY","VEHICLE_TYPE","Vehicle Type Desc","LGA_NAME","LGA_NAME_ALL","Lat","Long","POSTCODE_NO","ROAD_NAME","ROAD_TYPE","ROAD_TYPE_INT","DISTANCE_LOCATION","YEAR","sev_desc"
"288427","T20160012065",2016-06-02,07:17:00,1,"Collision with vehicle",5,"Thursday",1,"Cross intersection","040",2,"13","Bicycle","YARRA","YARRA",-37.79788065,144.9875788,3066,"EASEY","STREET","STREET",0,2016,"Serious injury accident"
"288439","T20160012072",2016-06-02,09:00:00,1,"Collision with vehicle",5,"Thursday",2,"T intersection","060",2,"13","Bicycle","MOONEE VALLEY","MOONEE VALLEY",-37.78333296,144.9354951,3031,"MT ALEXANDER","ROAD","STREET",0,2016,"Serious injury accident"
"288440","T20160012072",2016-06-02,09:00:00,1,"Collision with vehicle",5,"Thursday",2,"T intersection","060",2,"13","Bicycle","MOONEE VALLEY","MOONEE VALLEY",-37.78333296,144.9354951,3032,"MT ALEXANDER","ROAD","STREET",0,2016,"Serious injury accident"
"288441","T20160012074",2016-06-02,08:30:00,1,"Collision with vehicle",4,"Thursday",2,"T intersection","050",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.87876276,145.0130318,3161,"GLEN EIRA","ROAD","STREET",0,2016,"Other injury accident"
"288442","T20160012074",2016-06-02,08:30:00,1,"Collision with vehicle",4,"Thursday",2,"T intersection","050",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.87876276,145.0130318,3185,"GLEN EIRA","ROAD","STREET",0,2016,"Other injury accident"
"288446","T20160012078",2016-06-02,08:28:00,1,"Collision with vehicle",5,"Thursday",1,"Cross intersection","040",2,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80913558,144.9691961,3000,"EXHIBITION","STREET","STREET",0,2016,"Serious injury accident"
"288452","T20160012081",2016-06-02,07:30:00,1,"Collision with vehicle",5,"Thursday",5,"Not at intersection","060",2,"13","Bicycle","KINGSTON","KINGSTON",-37.98111967,145.0636001,3194,"BALCOMBE","ROAD","PARADE",71,2016,"Serious injury accident"
"288474","T20160012101",2016-06-02,10:40:00,1,"Collision with vehicle",5,"Thursday",5,"Not at intersection","100",2,"13","Bicycle","WODONGA","WODONGA",-36.24107998,146.83005,3691,"BEECHWORTH-WODONGA","ROAD","ROAD",1008,2016,"Serious injury accident"
"288527","T20160012139",2016-06-02,07:30:00,1,"Collision with vehicle",4,"Thursday",1,"Cross intersection","050",3,"13","Bicycle","BALLARAT","BALLARAT",-37.56452438,143.8603163,3350,"DANA","STREET","STREET",0,2016,"Other injury accident"
"288557","T20160012159",2016-06-02,19:03:00,1,"Collision with vehicle",4,"Thursday",5,"Not at intersection","050",3,"13","Bicycle","MOONEE VALLEY","MOONEE VALLEY",-37.78827558,144.9305708,3031,"RACECOURSE","ROAD","STREET",53,2016,"Other injury accident"
"288571","T20160012173",2016-06-03,07:30:00,1,"Collision with vehicle",6,"Friday",1,"Cross intersection","040",3,"13","Bicycle","YARRA","YARRA",-37.7943877,144.9881639,3066,"ALEXANDRA","PARADE","STREET",0,2016,"Other injury accident"
"288648","T20160012228",2016-06-02,19:15:00,1,"Collision with vehicle",5,"Thursday",1,"Cross intersection","060",3,"13","Bicycle","YARRA","DAREBIN,YARRA",-37.78187599,145.0250384,3078,"HEIDELBERG","ROAD","HIGHWAY",0,2016,"Other injury accident"
"288655","T20160012241",2016-05-31,17:45:00,1,"Collision with vehicle",3,"Tuesday",2,"T intersection","060",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.92737463,145.0495963,3204,"PATTERSON","ROAD","ROAD",0,2016,"Other injury accident"
"288662","T20160012247",2016-06-03,19:08:00,1,"Collision with vehicle",6,"Friday",5,"Not at intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80798379,144.9693418,3000,"LA TROBE","STREET","STREET",56,2016,"Other injury accident"
"288663","T20160012247",2016-06-03,19:08:00,1,"Collision with vehicle",6,"Friday",5,"Not at intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80798379,144.9693418,3000,"LA TROBE","STREET","STREET",56,2016,"Other injury accident"
"288679","T20160012252",2016-05-31,06:45:00,1,"Collision with vehicle",2,"Tuesday",1,"Cross intersection","060",3,"13","Bicycle","GLEN EIRA","GLEN EIRA,PORT PHILLIP",-37.86645508,145.0000358,3183,"HOTHAM","STREET","STREET",0,2016,"Other injury accident"
"288762","T20160012321",2016-06-04,11:45:00,6,"Vehicle overturned (no collision)",7,"Saturday",5,"Not at intersection","060",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.79418681,144.9279406,3031,"MACAULAY","ROAD","ROAD",22,2016,"Other injury accident"
"288769","T20160012326",2016-06-04,13:20:00,8,"No collision and no object struck",7,"Saturday",5,"Not at intersection","100",3,"13","Bicycle","BENDIGO","BENDIGO",-36.78693961,144.3816694,3551,"SOMERSET PARK","ROAD","ROAD",225,2016,"Other injury accident"
"288788","T20160012345",2016-06-05,00:43:00,1,"Collision with vehicle",0,"Sunday",5,"Not at intersection","040",2,"13","Bicycle","MELBOURNE","MELBOURNE",-37.81903029,144.976024,3004,"BATMAN","AVENUE","ROAD",69,2016,"Serious injury accident"
"288815","T20160012375",2016-03-18,14:30:00,5,"collision with some other object",6,"Friday",5,"Not at intersection","999",2,"13","Bicycle","WYNDHAM","WYNDHAM",-37.83052028,144.784942,3026,"FITZGERALD","ROAD","ROAD",265,2016,"Serious injury accident"
"288824","T20160012383",2016-06-05,13:45:00,1,"Collision with vehicle",1,"Sunday",1,"Cross intersection","080",3,"13","Bicycle","MORNINGTON PENINSULA","MORNINGTON PENINSULA",-38.35351772,145.1658619,3918,"DISNEY","STREET","ROAD",0,2016,"Other injury accident"
"288827","T20160012390",2016-04-06,14:00:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","040",3,"13","Bicycle","STONNINGTON","STONNINGTON",-37.84729007,144.9940607,3181,"CHAPEL","STREET","ROAD",48,2016,"Other injury accident"
"288834","T20160012394",2016-05-20,16:20:00,1,"Collision with vehicle",6,"Friday",5,"Not at intersection","050",3,"13","Bicycle","KNOX","KNOX",-37.91616047,145.2461838,3178,"TAYLORS","LANE","DRIVE",19,2016,"Other injury accident"
"288887","T20160012447",2016-06-06,08:15:00,1,"Collision with vehicle",2,"Monday",1,"Cross intersection","050",2,"13","Bicycle","DAREBIN","DAREBIN",-37.77266718,145.0039224,3070,"ANDREW","STREET","STREET",0,2016,"Serious injury accident"
"288904","T20160012462",2016-06-02,18:00:00,1,"Collision with vehicle",5,"Thursday",5,"Not at intersection","999",2,"13","Bicycle","STONNINGTON","STONNINGTON",-37.85342939,144.993075,3181,"CHAPEL","STREET","STREET",12,2016,"Serious injury accident"
"288948","T20160012487",2016-06-06,18:27:00,1,"Collision with vehicle",2,"Monday",1,"Cross intersection","060",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.90173463,145.0546871,3204,"KOORNANG","ROAD","ROAD",0,2016,"Other injury accident"
"288949","T20160012487",2016-06-06,18:27:00,1,"Collision with vehicle",2,"Monday",1,"Cross intersection","060",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.90173463,145.0546871,3163,"KOORNANG","ROAD","ROAD",0,2016,"Other injury accident"
"288981","T20160012523",2016-06-07,09:55:00,1,"Collision with vehicle",2,"Tuesday",5,"Not at intersection","060",3,"13","Bicycle","MAROONDAH","MAROONDAH",-37.79939753,145.2877901,3136,"MT DANDENONG","ROAD","ROAD",11,2016,"Other injury accident"
"288994","T20160012533",2016-06-06,17:20:00,1,"Collision with vehicle",1,"Monday",5,"Not at intersection","060",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.86411999,144.98569,3182,"ST KILDA","ROAD","STREET",59,2016,"Other injury accident"
"289064","T20160012604",2016-06-07,08:35:00,1,"Collision with vehicle",3,"Tuesday",5,"Not at intersection","050",2,"13","Bicycle","MOIRA","MOIRA",-36.05722046,145.20444,3638,"BROMLEY","STREET","STREET",51,2016,"Serious injury accident"
"289082","T20160012617",2016-03-02,10:04:00,1,"Collision with vehicle",3,"Wednesday",1,"Cross intersection","060",3,"13","Bicycle","MARIBYRNONG","MARIBYRNONG",-37.7975733,144.9038289,3011,"MOORE","STREET","STREET",0,2016,"Other injury accident"
"289092","T20160012625",2016-05-17,13:00:00,1,"Collision with vehicle",2,"Tuesday",5,"Not at intersection","999",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.8637701,144.9852296,3182,"ST KILDA","ROAD","STREET",30,2016,"Other injury accident"
"289094","T20160012627",2016-06-07,17:50:00,1,"Collision with vehicle",3,"Tuesday",2,"T intersection","050",3,"13","Bicycle","MORELAND","MORELAND",-37.74593165,144.9743766,3058,"DARLINGTON","GROVE","STREET",0,2016,"Other injury accident"
"289116","T20160012652",2016-06-08,17:30:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","050",3,"13","Bicycle","YARRA","YARRA",-37.79521811,144.9836962,3065,"GORE","STREET","STREET",0,2016,"Other injury accident"
"289127","T20160012660",2016-06-08,15:24:00,1,"Collision with vehicle",3,"Wednesday",2,"T intersection","040",2,"13","Bicycle","STONNINGTON","STONNINGTON",-37.84474349,144.9945615,3141,"CHAPEL","STREET","STREET",0,2016,"Serious injury accident"
"289131","T20160012664",2016-06-08,17:31:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","060",3,"13","Bicycle","YARRA","YARRA",-37.7858694,144.9992068,3068,"HEIDELBERG","ROAD","STREET",0,2016,"Other injury accident"
"289164","T20160012691",2016-06-09,09:12:00,1,"Collision with vehicle",4,"Thursday",5,"Not at intersection","050",2,"13","Bicycle","BAYSIDE","BAYSIDE",-37.92971987,145.0189987,3187,"GLENCAIRN","AVENUE","ROAD",141,2016,"Serious injury accident"
"289229","T20160012744",2016-06-08,19:00:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","040",3,"13","Bicycle","YARRA","YARRA",-37.78491733,144.9750694,3054,"CANNING","STREET","STREET",0,2016,"Other injury accident"
"289243","T20160012760",2016-06-09,17:30:00,1,"Collision with vehicle",4,"Thursday",5,"Not at intersection","050",2,"13","Bicycle","GEELONG","GEELONG",-38.0228213,144.3959847,3212,"PATULLOS","ROAD","ROAD",36,2016,"Serious injury accident"
"289247","T20160012765",2016-06-10,09:14:00,1,"Collision with vehicle",6,"Friday",5,"Not at intersection","110",3,"13","Bicycle","LATROBE","LATROBE",-38.1859201,146.2324101,3825,"LLOYD","STREET","FREEWAY",126,2016,"Other injury accident"
"289254","T20160012773",2016-06-09,20:45:00,1,"Collision with vehicle",5,"Thursday",5,"Not at intersection","040",3,"13","Bicycle","MORELAND","MORELAND",-37.75491021,144.9642218,3058,"SYDNEY","ROAD","STREET",18,2016,"Other injury accident"
"289260","T20160012780",2016-05-23,15:00:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","060",3,"13","Bicycle","MOONEE VALLEY","MOONEE VALLEY",-37.77978,144.9148801,3032,"UNION","ROAD","ROAD",91,2016,"Other injury accident"
"289320","T20160012859",2016-06-11,10:30:00,1,"Collision with vehicle",7,"Saturday",1,"Cross intersection","050",3,"13","Bicycle","DAREBIN","DAREBIN",-37.77412975,145.016635,3078,"MITCHELL","STREET","STREET",0,2016,"Other injury accident"
"289386","T20160012932",2016-06-12,13:00:00,1,"Collision with vehicle",0,"Sunday",2,"T intersection","050",2,"13","Bicycle","HOBSONS BAY","HOBSONS BAY",-37.84540416,144.894977,3015,"NORTH","ROAD",NA,0,2016,"Serious injury accident"
"289485","T20160013036",2016-05-25,08:00:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","999",3,"13","Bicycle","BOROONDARA","BOROONDARA",-37.81719066,145.0706455,3126,"IRILBARRA","ROAD","ROAD",0,2016,"Other injury accident"
"289489","T20160013041",2016-05-30,12:00:00,1,"Collision with vehicle",1,"Monday",5,"Not at intersection","040",3,"13","Bicycle","MORELAND","MORELAND",-37.77254994,144.9715195,3057,"LYGON","STREET","ROAD",12,2016,"Other injury accident"
"289542","T20160013090",2016-05-31,16:45:00,1,"Collision with vehicle",2,"Tuesday",1,"Cross intersection","080",3,"13","Bicycle","DANDENONG","DANDENONG",-37.98243941,145.1461652,3172,"SPRINGVALE","ROAD","BYPASS",0,2016,"Other injury accident"
"289543","T20160013090",2016-05-31,16:45:00,1,"Collision with vehicle",2,"Tuesday",1,"Cross intersection","080",3,"13","Bicycle","DANDENONG","DANDENONG",-37.98243941,145.1461652,3173,"SPRINGVALE","ROAD","BYPASS",0,2016,"Other injury accident"
"289554","T20160013096",2016-06-12,11:00:00,1,"Collision with vehicle",1,"Sunday",5,"Not at intersection","050",2,"13","Bicycle","STONNINGTON","STONNINGTON",-37.83797955,144.9959265,3141,"CHAPEL","STREET","STREET",23,2016,"Serious injury accident"
"289557","T20160013097",2016-06-14,18:00:00,1,"Collision with vehicle",3,"Tuesday",2,"T intersection","060",3,"13","Bicycle","YARRA","YARRA",-37.7819363,144.9850193,3068,"ST GEORGES","ROAD","STREET",0,2016,"Other injury accident"
"289567","T20160013114",2016-06-14,17:10:00,1,"Collision with vehicle",3,"Tuesday",5,"Not at intersection","060",3,"13","Bicycle","MELBOURNE","MELBOURNE,PORT PHILLIP",-37.8444502,144.9785391,3004,"ST KILDA","ROAD","STREET",46,2016,"Other injury accident"
"289571","T20160013115",2016-06-15,07:55:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","050",3,"13","Bicycle","BRIMBANK","BRIMBANK",-37.69981016,144.7908307,3038,"LAKES","DRIVE","HIGHWAY",28,2016,"Other injury accident"
"289576","T20160013120",2016-06-15,08:45:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","050",2,"13","Bicycle","BOROONDARA","BOROONDARA",-37.83478696,145.0515306,3123,"PLEASANT","ROAD","STREET",30,2016,"Serious injury accident"
"289593","T20160013129",2016-06-01,08:15:00,1,"Collision with vehicle",3,"Wednesday",1,"Cross intersection","060",3,"13","Bicycle","PORT PHILLIP","PORT PHILLIP",-37.84593654,144.9549576,3206,"KERFERD","ROAD","STREET",0,2016,"Other injury accident"
"289641","T20160013167",2016-06-15,15:22:00,1,"Collision with vehicle",3,"Wednesday",1,"Cross intersection","050",3,"13","Bicycle","BRIMBANK","BRIMBANK",-37.72446248,144.8497085,3042,"KEILOR PARK","DRIVE","ROAD",0,2016,"Other injury accident"
"289646","T20160013170",2016-06-15,16:48:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","060",3,"13","Bicycle","FRANKSTON","FRANKSTON",-38.11005708,145.1423639,3198,"SEAFORD","ROAD","ROAD",0,2016,"Other injury accident"
"289722","T20160013234",2016-06-15,07:00:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","040",3,"13","Bicycle","MORELAND","MORELAND",-37.77611653,144.9606042,3056,"SYDNEY","ROAD","STREET",0,2016,"Other injury accident"
"289749","T20160013251",2016-06-14,17:50:00,1,"Collision with vehicle",3,"Tuesday",4,"Multiple intersection","999",2,"13","Bicycle","MELBOURNE","MELBOURNE",-37.82856503,144.9671728,3006,"DODDS","STREET","STREET",0,2016,"Serious injury accident"
"289795","T20160013294",2016-06-17,09:50:00,1,"Collision with vehicle",6,"Friday",2,"T intersection","040",3,"13","Bicycle","YARRA","YARRA",-37.82841937,144.9974423,3121,"CHURCH","STREET","STREET",0,2016,"Other injury accident"
"289803","T20160013301",2016-06-17,07:35:00,1,"Collision with vehicle",5,"Friday",1,"Cross intersection","040",3,"13","Bicycle","YARRA","YARRA",-37.78883083,144.9719986,3054,"CURTAIN","STREET","STREET",0,2016,"Other injury accident"
"289809","T20160013303",2016-06-15,18:10:00,1,"Collision with vehicle",3,"Wednesday",2,"T intersection","999",3,"13","Bicycle","YARRA","MORELAND,YARRA",-37.77603904,144.9858236,3068,"MAY","STREET","STREET",130,2016,"Other injury accident"
"289886","T20160013364",2016-04-26,19:30:00,1,"Collision with vehicle",2,"Tuesday",2,"T intersection","050",3,"13","Bicycle","MORELAND","MORELAND",-37.73701244,144.9593434,3058,"FRASER","STREET","STREET",0,2016,"Other injury accident"
"289926","T20160013401",2016-06-18,15:50:00,6,"Vehicle overturned (no collision)",7,"Saturday",2,"T intersection","060",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.88496693,145.006103,3185,"GLEN HUNTLY","ROAD","ROAD",0,2016,"Other injury accident"
"289943","T20160013420",2016-06-18,18:00:00,1,"Collision with vehicle",7,"Saturday",1,"Cross intersection","999",3,"13","Bicycle","DAREBIN","DAREBIN",-37.76279963,144.9925601,3070,"GADD","STREET","ROAD",19,2016,"Other injury accident"
"289960","T20160013435",2016-05-14,16:00:00,1,"Collision with vehicle",7,"Saturday",5,"Not at intersection","060",3,"13","Bicycle","MARIBYRNONG","MARIBYRNONG",-37.78149982,144.8709498,3012,"HAMPSTEAD","ROAD","STREET",56,2016,"Other injury accident"
"289967","T20160013441",2016-06-19,07:33:00,1,"Collision with vehicle",1,"Sunday",1,"Cross intersection","060",2,"13","Bicycle","BANYULE","BANYULE",-37.75968807,145.0690545,3084,"BANKSIA","STREET","ROAD",0,2016,"Serious injury accident"
"289981","T20160013461",2016-06-07,18:30:00,1,"Collision with vehicle",3,"Tuesday",2,"T intersection","050",2,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.88224162,145.0046244,3185,"SANDHAM","STREET","GROVE",0,2016,"Serious injury accident"
"290086","T20160013552",2016-05-30,17:10:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","888",3,"13","Bicycle","DANDENONG","DANDENONG",-37.99664965,145.2075872,3175,"CANBERRA","AVENUE","ROAD",216,2016,"Other injury accident"
"290103","T20160013569",2016-06-21,06:45:00,1,"Collision with vehicle",3,"Tuesday",2,"T intersection","060",3,"13","Bicycle","WHITTLESEA","WHITTLESEA",-37.65925099,145.0550217,3082,"PINDARI","AVENUE","DRIVE",0,2016,"Other injury accident"
"290122","T20160013585",2016-06-21,07:00:00,1,"Collision with vehicle",2,"Tuesday",2,"T intersection","050",3,"13","Bicycle","MOONEE VALLEY","MOONEE VALLEY",-37.73140845,144.9188405,3041,"LOCH","CRESCENT","STREET",0,2016,"Other injury accident"
"290140","T20160013599",2016-06-17,23:30:00,1,"Collision with vehicle",6,"Friday",1,"Cross intersection","060",3,"13","Bicycle","MELBOURNE","MELBOURNE,MORELAND",-37.77804419,144.9602339,3056,"ROYAL PARADE -SYDNEY","ROAD",NA,0,2016,"Other injury accident"
"290195","T20160013646",2016-06-21,19:00:00,1,"Collision with vehicle",3,"Tuesday",1,"Cross intersection","060",2,"13","Bicycle","BOROONDARA","BOROONDARA",-37.79932805,145.0506283,3102,"VALERIE","STREET","ROAD",0,2016,"Serious injury accident"
"290218","T20160013667",2016-06-22,08:45:00,1,"Collision with vehicle",4,"Wednesday",1,"Cross intersection","060",3,"13","Bicycle","HUME","HUME",-37.67687659,144.9101591,3047,"DIMBOOLA","ROAD","DRIVE",0,2016,"Other injury accident"
"290235","T20160013679",2016-06-22,08:25:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","040",3,"13","Bicycle","YARRA","YARRA",-37.81780819,144.9923076,3121,"BRIDGE","ROAD","STREET",0,2016,"Other injury accident"
"290245","T20160013687",2016-06-18,08:30:00,6,"Vehicle overturned (no collision)",7,"Saturday",1,"Cross intersection","060",3,"13","Bicycle","MARIBYRNONG","MARIBYRNONG",-37.79823323,144.8984107,3011,"DONALD","STREET","STREET",0,2016,"Other injury accident"
"290256","T20160013694",2016-06-22,08:35:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","050",2,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80846574,144.9553223,3003,"PEEL","STREET","STREET",0,2016,"Serious injury accident"
"290285","T20160013718",2016-06-22,17:00:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","050",3,"13","Bicycle","GLEN EIRA","GLEN EIRA,MONASH",-37.90159615,145.075452,3166,"POATH","ROAD","STREET",0,2016,"Other injury accident"
"290286","T20160013718",2016-06-22,17:00:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","050",3,"13","Bicycle","GLEN EIRA","GLEN EIRA,MONASH",-37.90159615,145.075452,3163,"POATH","ROAD","STREET",0,2016,"Other injury accident"
"290321","T20160013752",2016-06-23,12:00:00,1,"Collision with vehicle",5,"Thursday",1,"Cross intersection","050",3,"13","Bicycle","YARRA","YARRA",-37.78304904,144.9814283,3068,"BRUNSWICK","STREET","STREET",0,2016,"Other injury accident"
"290323","T20160013754",2016-06-09,09:30:00,1,"Collision with vehicle",5,"Thursday",5,"Not at intersection","999",3,"13","Bicycle","BOROONDARA","BOROONDARA",-37.84495972,145.0450676,3123,"TOORONGA","ROAD","STREET",47,2016,"Other injury accident"
"290345","T20160013772",2016-06-23,16:07:00,1,"Collision with vehicle",5,"Thursday",1,"Cross intersection","080",2,"13","Bicycle","MONASH","MONASH",-37.91462954,145.1272877,3168,"NORTH","ROAD","ROAD SERVICE ROAD",158,2016,"Serious injury accident"
"290373","T20160013796",2016-06-23,18:39:00,1,"Collision with vehicle",5,"Thursday",1,"Cross intersection","060",3,"13","Bicycle","MARIBYRNONG","MARIBYRNONG",-37.80325902,144.8923933,3011,"BUCKLEY","STREET","STREET",0,2016,"Other injury accident"
"290376","T20160013798",2016-06-23,15:11:00,1,"Collision with vehicle",5,"Thursday",5,"Not at intersection","050",1,"13","Bicycle","MARIBYRNONG","MARIBYRNONG",-37.797058,144.8741404,3012,"BARKLY","STREET","STREET",51,2016,"Fatal accident"
"290398","T20160013823",2016-06-24,09:31:00,8,"No collision and no object struck",6,"Friday",5,"Not at intersection","040",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.81412031,144.9712201,3000,"COLLINS","STREET","STREET",24,2016,"Other injury accident"
"290410","T20160013836",2016-06-08,16:30:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","040",3,"13","Bicycle","YARRA","MELBOURNE,YARRA",-37.80538169,144.9736196,3065,"NICHOLSON","STREET","STREET",0,2016,"Other injury accident"
"290411","T20160013836",2016-06-08,16:30:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","040",3,"13","Bicycle","YARRA","MELBOURNE,YARRA",-37.80538169,144.9736196,3053,"NICHOLSON","STREET","STREET",0,2016,"Other injury accident"
"290419","T20160013843",2016-06-24,09:45:00,1,"Collision with vehicle",6,"Friday",1,"Cross intersection","060",3,"13","Bicycle","MELBOURNE","MELBOURNE",-37.80217198,144.9606531,3053,"LEICESTER","STREET","STREET",0,2016,"Other injury accident"
"290431","T20160013854",2016-02-15,18:24:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","080",3,"13","Bicycle","KNOX","KNOX",-37.88515276,145.2833966,3156,"BURWOOD","HIGHWAY","ROAD",106,2016,"Other injury accident"
"290434","T20160013855",2016-06-24,14:40:00,1,"Collision with vehicle",6,"Friday",5,"Not at intersection","050",3,"13","Bicycle","YARRA","YARRA",-37.8066111,144.9983068,3067,"VICTORIA","CRESCENT","STREET",111,2016,"Other injury accident"
"290443","T20160013862",2016-06-24,13:50:00,1,"Collision with vehicle",6,"Friday",1,"Cross intersection","050",3,"13","Bicycle","STONNINGTON","STONNINGTON",-37.859002,145.03664,3144,"STANHOPE","STREET","STREET",0,2016,"Other injury accident"
"290482","T20160013882",2016-06-24,21:28:00,1,"Collision with vehicle",6,"Friday",1,"Cross intersection","040",3,"13","Bicycle","MARIBYRNONG","MARIBYRNONG",-37.80819878,144.8951632,3011,"HOBBS","STREET","PARADE",0,2016,"Other injury accident"
"290498","T20160013902",2016-06-25,09:50:00,1,"Collision with vehicle",7,"Saturday",2,"T intersection","070",3,"13","Bicycle","BAYSIDE","BAYSIDE",-37.93177247,145.0249595,3187,"SOUTH","ROAD","ROAD",37,2016,"Other injury accident"
"290503","T20160013906",2016-06-23,18:00:00,1,"Collision with vehicle",5,"Thursday",5,"Not at intersection","050",3,"13","Bicycle","YARRA","YARRA",-37.81538901,144.9953502,3121,"HIGHETT","STREET","STREET",25,2016,"Other injury accident"
"290526","T20160013923",2016-06-25,12:05:00,1,"Collision with vehicle",7,"Saturday",2,"T intersection","060",2,"13","Bicycle","DANDENONG","DANDENONG",-37.97804465,145.2068595,3175,"PRINCES","HIGHWAY","STREET",0,2016,"Serious injury accident"
"290573","T20160013975",2016-05-25,10:35:00,1,"Collision with vehicle",4,"Wednesday",2,"T intersection","080",3,"13","Bicycle","LATROBE","LATROBE",-38.24881104,146.5483346,3844,"MATTINGLEY HILL","ROAD","ROAD",18,2016,"Other injury accident"
"290638","T20160014029",2016-06-27,10:09:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","080",2,"13","Bicycle","MORNINGTON PENINSULA","MORNINGTON PENINSULA",-38.29254001,145.1836214,3915,"FRANKSTON-FLINDERS","ROAD","STREET",378,2016,"Serious injury accident"
"290712","T20160014099",2016-06-27,08:30:00,6,"Vehicle overturned (no collision)",2,"Monday",5,"Not at intersection","060",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.8876403,145.0288127,3162,"BAMBRA","ROAD","ROAD",14,2016,"Other injury accident"
"290758","T20160014136",2016-06-28,16:21:00,1,"Collision with vehicle",3,"Tuesday",5,"Not at intersection","888",2,"13","Bicycle","MAROONDAH","MAROONDAH",-37.80978985,145.2306047,3134,"WARRANDYTE","ROAD","AVENUE",39,2016,"Serious injury accident"
"290800","T20160014179",2016-06-29,08:50:00,1,"Collision with vehicle",4,"Wednesday",5,"Not at intersection","080",2,"13","Bicycle","MORNINGTON PENINSULA","MORNINGTON PENINSULA",-38.22267829,145.0535279,3931,"NEPEAN","HIGHWAY","DRIVE",57,2016,"Serious injury accident"
"290801","T20160014182",2016-06-26,12:11:00,1,"Collision with vehicle",0,"Sunday",1,"Cross intersection","060",3,"13","Bicycle","GLEN EIRA","GLEN EIRA",-37.88921399,145.0570774,3163,"NEERIM","ROAD","ROAD",0,2016,"Other injury accident"
"290882","T20160014244",2016-06-27,08:45:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","050",2,"13","Bicycle","MELBOURNE","MELBOURNE,PORT PHILLIP",-37.83704976,144.9758411,3004,"ST KILDA","ROAD","ROAD",96,2016,"Serious injury accident"
"290883","T20160014244",2016-06-27,08:45:00,1,"Collision with vehicle",2,"Monday",5,"Not at intersection","050",2,"13","Bicycle","MELBOURNE","MELBOURNE,PORT PHILLIP",-37.83704976,144.9758411,3004,"ST KILDA","ROAD","ROAD",96,2016,"Serious injury accident"
"290946","T20160014312",2016-07-01,08:50:00,1,"Collision with vehicle",6,"Friday",1,"Cross intersection","100",3,"13","Bicycle","CARDINIA","CARDINIA",-38.14611217,145.4244906,3978,"BALLARTO","ROAD","ROAD",0,2016,"Other injury accident"
"290951","T20160014315",2016-06-23,07:20:00,1,"Collision with vehicle",5,"Thursday",5,"Not at intersection","040",3,"13","Bicycle","MORELAND","MORELAND",-37.76867957,144.9618461,3056,"SYDNEY","ROAD","STREET",20,2016,"Other injury accident"
"290959","T20160014322",2016-06-26,15:30:00,1,"Collision with vehicle",1,"Sunday",5,"Not at intersection","060",2,"13","Bicycle","MELBOURNE","MELBOURNE",-37.78817004,144.9589805,3054,"ROYAL","PARADE","STREET",51,2016,"Serious injury accident"
"290960","T20160014322",2016-06-26,15:30:00,1,"Collision with vehicle",1,"Sunday",5,"Not at intersection","060",2,"13","Bicycle","MELBOURNE","MELBOURNE",-37.78817004,144.9589805,3052,"ROYAL","PARADE","STREET",51,2016,"Serious injury accident"
